7,0,45,Red
7,0,46,Red
7,0,47,Red
7,0,48,Red
7,1,45,Red
7,1,46,Red
7,1,47,Red
7,1,48,Red
7,1,49,Red
7,1,50,Red
7,2,45,Red
7,2,46,Red
7,2,47,Red
7,2,48,Red
7,2,49,Red
7,2,50,Red
7,3,49,Red
7,3,50,Red
8,0,2,Black
8,0,3,Black
8,0,4,Black
8,0,5,Black
8,0,6,Black
8,0,7,Black
8,0,8,Black
8,0,9,Black
8,0,10,Black
8,0,11,Black
8,0,12,Black
8,0,13,Black
8,0,14,Black
8,0,15,Black
8,0,16,Black
8,0,17,Black
8,0,38,Red
8,1,2,Black
8,1,3,Black
8,1,4,Black
8,1,5,Black
8,1,6,Black
8,1,7,Black
8,1,8,Black
8,1,9,Black
8,1,10,Black
8,1,11,Black
8,1,12,Black
8,1,13,Black
8,1,14,Black
8,1,15,Black
8,1,16,Black
8,1,17,Black
8,1,38,Red
8,1,39,Red
8,2,2,Black
8,2,3,Black
8,2,4,Black
8,2,5,Black
8,2,6,Black
8,2,7,Black
8,2,8,Black
8,2,9,Black
8,2,10,Black
8,2,11,Black
8,2,12,Black
8,2,13,Black
8,2,14,Black
8,2,15,Black
8,2,16,Black
8,2,17,Black
8,2,38,Red
8,2,39,Red
8,2,40,Red
8,3,2,Black
8,3,3,Black
8,3,4,Black
8,3,5,Black
8,3,6,Black
8,3,7,Black
8,3,8,Black
8,3,9,Black
8,3,10,Black
8,3,11,Black
8,3,12,Black
8,3,13,Black
8,3,14,Black
8,3,15,Black
8,3,16,Black
8,3,17,Black
8,3,39,Red
8,3,40,Red
8,3,41,Red
8,3,52,Red
8,4,2,Black
8,4,3,Black
8,4,4,Black
8,4,5,Black
8,4,6,Black
8,4,7,Black
8,4,8,Black
8,4,9,Black
8,4,10,Black
8,4,11,Black
8,4,12,Black
8,4,13,Black
8,4,14,Black
8,4,15,Black
8,4,16,Black
8,4,17,Black
8,4,40,Red
8,4,41,Red
8,4,42,Red
8,4,43,Red
8,4,51,Red
8,4,52,Red
8,5,2,Black
8,5,3,Black
8,5,4,Black
8,5,5,Black
8,5,6,Black
8,5,7,Black
8,5,8,Black
8,5,9,Black
8,5,10,Black
8,5,11,Black
8,5,12,Black
8,5,13,Black
8,5,14,Black
8,5,15,Black
8,5,16,Black
8,5,17,Black
8,5,41,Red
8,5,42,Red
8,5,43,Red
8,5,44,Red
8,5,45,Red
8,5,46,Red
8,5,47,Red
8,5,48,Red
8,5,49,Red
8,5,50,Red
8,5,51,Red
8,5,52,Red
8,6,2,Black
8,6,3,Black
8,6,4,Black
8,6,5,Black
8,6,6,Black
8,6,7,Black
8,6,8,Black
8,6,9,Black
8,6,10,Black
8,6,11,Black
8,6,12,Black
8,6,13,Black
8,6,14,Black
8,6,15,Black
8,6,16,Black
8,6,17,Black
8,6,42,Red
8,6,43,Red
8,6,44,Red
8,6,45,Red
8,6,46,Red
8,6,47,Red
8,6,48,Red
8,6,49,Red
